0,PU,2013,,първи курс,втори курс,трети курс,четвърти курс,пети курс
63,PU,2015,Политология (проф. направление Политически науки),43,21,49,44,0
64,PU,2015,Социални дейности (проф. направление Социални дейности),48,52,42,28,0
65,PU,2015,Публична администрация (проф. направление Администрация и управление),73,0,0,0,0
66,PU,2015,Стопанско управление (проф. направление Администрация и управление),118,118,127,72,0
67,PU,2015,Макроикономика (проф. направление Икономика),54,57,53,67,0
68,PU,2015,Маркетинг (проф. направление Икономика),96,103,110,85,0
69,PU,2015,Международни икономически отношения (проф. направление Икономика),64,51,68,54,0
70,PU,2015,Счетоводство (проф. направление Икономика),74,0,0,0,0
71,PU,2015,Финанси (проф. направление Икономика),91,110,112,82,0
72,PU,2015,Инженерна физика (проф. направление Физически науки),28,30,45,9,0
73,PU,2015,Информационна физика и комуникации (проф. направление Физически науки),0,0,0,18,0
74,PU,2015,Медицинска физика (проф. направление Физически науки),0,0,0,11,0
75,PU,2015,Телекомуникации с мениджмънт (проф. направление Физически науки),32,37,28,0,0
76,PU,2015,Информационна физика и телекомуникации (проф. направление Физически науки),0,11,12,0,0
77,PU,2015,Телекомуникации и информационни системи (проф. направление Физически науки),32,0,0,0,0
78,PU,2015,Индустриална физика с иновативен мениджмънт (проф. направление Физически науки),9,0,0,0,0
79,PU,2015,Компютърна химия (проф. направление Химически науки),4,0,1,13,0
80,PU,2015,Химия (проф. направление Химически науки),15,16,18,14,0
81,PU,2015,Медицинска химия (проф. направление Химически науки),36,37,38,40,0
82,PU,2015,Химия и маркетинг (проф. направление Химически науки),11,11,14,23,0
83,PU,2015,Химия с английски език (проф. направление Химически науки),0,0,0,7,0
84,PU,2015,Анализ и контрол (проф. направление Химически науки),22,12,0,0,0
85,PU,2015,Биология (проф. направление Биологически науки),49,50,38,49,0
86,PU,2015,Екология и опазване на околната среда (проф. направление Биологически науки),58,51,43,43,0
87,PU,2015,Молекулярна биология (проф. направление Биологически науки),42,38,36,32,0
88,PU,2015,Биоинформатика (проф. направление Биологически науки),21,17,17,22,0
89,PU,2015,Медицинска биология (проф. направление Биологически науки),41,43,35,45,0
90,PU,2015,Екология на биотехнологичните производства (проф. направление Биологически науки),12,11,12,16,0
